=================================================
                RAPPORT RELEVÉS IoT              
=================================================
Date : 2026-02-24

Type;Valeur;Unité;Capteur
Vitesse du vent;35.67;km/h;9
Humidité du sol;74.83;%;4
pH du sol;6.86;pH;5
Pluviométrie;6.03;mm;7
Luminosité;4522.72;lux;8
Vitesse du vent;13.08;km/h;9
Humidité du sol;44.83;%;4
pH du sol;6.45;pH;5
Pluviométrie;7.69;mm;7
Luminosité;49603.91;lux;8
Vitesse du vent;37.6;km/h;9
Humidité du sol;65.67;%;4
pH du sol;6.84;pH;5
Pluviométrie;9.61;mm;7
Luminosité;3372.97;lux;8
Vitesse du vent;9.49;km/h;9
Pluviométrie;9.83;mm;7
Luminosité;55385.91;lux;8
Vitesse du vent;28.15;km/h;9
Humidité du sol;41.02;%;4
pH du sol;6.58;pH;5
Humidité du sol;62.34;%;4
pH du sol;6.3;pH;5
Pluviométrie;8.85;mm;7
Luminosité;97755.03;lux;8
Vitesse du vent;15.91;km/h;9
Humidité du sol;54.75;%;4
pH du sol;6.82;pH;5
Pluviométrie;4.99;mm;7
Luminosité;11516.66;lux;8
Vitesse du vent;33.41;km/h;9
Humidité du sol;63.43;%;4
pH du sol;6.79;pH;5
Pluviométrie;1.05;mm;7
Luminosité;65145.07;lux;8
Vitesse du vent;1.44;km/h;9
Humidité du sol;68.69;%;4
pH du sol;6.16;pH;5
Pluviométrie;8.65;mm;7
Luminosité;35550.07;lux;8
Vitesse du vent;46.88;km/h;9
Humidité du sol;61.66;%;4
pH du sol;6.76;pH;5
Pluviométrie;0.7;mm;7
Luminosité;67119.62;lux;8
Vitesse du vent;30.76;km/h;9
Humidité du sol;52.48;%;4
pH du sol;7.27;pH;5
Pluviométrie;5.33;mm;7
Luminosité;48166.2;lux;8
Vitesse du vent;15.2;km/h;9
Humidité du sol;79.59;%;4
pH du sol;7.27;pH;5
Pluviométrie;2.47;mm;7
Luminosité;93012.11;lux;8
Vitesse du vent;35.96;km/h;9
Humidité du sol;79.62;%;4
pH du sol;7.1;pH;5
Pluviométrie;6.46;mm;7
Luminosité;78357.32;lux;8
Vitesse du vent;30.85;km/h;9
Humidité du sol;56.6;%;4
pH du sol;6.02;pH;5
Pluviométrie;9.76;mm;7
Luminosité;83084.63;lux;8
Vitesse du vent;17.27;km/h;9
Humidité du sol;73.84;%;4
pH du sol;6.07;pH;5
Pluviométrie;8.42;mm;7
Luminosité;29571.61;lux;8
Vitesse du vent;22.4;km/h;9
Humidité du sol;59.6;%;4
pH du sol;6.78;pH;5
Pluviométrie;3.33;mm;7
Luminosité;5241.79;lux;8
Vitesse du vent;9.74;km/h;9
Humidité du sol;76.28;%;4
pH du sol;6.52;pH;5
Pluviométrie;9.61;mm;7
Luminosité;19620.57;lux;8
Vitesse du vent;29.42;km/h;9
Pluviométrie;5.53;mm;7
Luminosité;37241.84;lux;8
Vitesse du vent;13.74;km/h;9
Humidité du sol;49.39;%;4
pH du sol;6.37;pH;5
Humidité du sol;74.1;%;4
pH du sol;6.14;pH;5
Pluviométrie;3.67;mm;7
Luminosité;88791.1;lux;8
Vitesse du vent;13.34;km/h;9
Humidité du sol;71.62;%;4
pH du sol;6.21;pH;5
Pluviométrie;8.43;mm;7
Luminosité;12268.94;lux;8
Vitesse du vent;21.41;km/h;9
Humidité du sol;60.18;%;4
pH du sol;6.84;pH;5
Pluviométrie;1.72;mm;7
Luminosité;70320.62;lux;8
Vitesse du vent;44.35;km/h;9
Pluviométrie;1.55;mm;7
Luminosité;633.89;lux;8
Vitesse du vent;26.92;km/h;9
Humidité du sol;60.02;%;4
pH du sol;7.42;pH;5
Humidité du sol;57.37;%;4
pH du sol;6.62;pH;5
Pluviométrie;8.34;mm;7
Luminosité;38260.6;lux;8
Vitesse du vent;32.94;km/h;9
Humidité du sol;49.92;%;4
pH du sol;7.23;pH;5
Pluviométrie;0.51;mm;7
Luminosité;22210.06;lux;8
Vitesse du vent;12.32;km/h;9
Humidité du sol;51.96;%;4
pH du sol;6.05;pH;5
Pluviométrie;1.91;mm;7
Luminosité;69682.83;lux;8
Vitesse du vent;35.56;km/h;9
Humidité du sol;79.67;%;4
pH du sol;7.4;pH;5
Pluviométrie;7.69;mm;7
Luminosité;63165.93;lux;8
Vitesse du vent;6.53;km/h;9
Pluviométrie;3.11;mm;7
Luminosité;49536.23;lux;8
Vitesse du vent;20.59;km/h;9
Humidité du sol;48.65;%;4
pH du sol;6.56;pH;5
Humidité du sol;79.34;%;4
pH du sol;6.61;pH;5
Pluviométrie;6.64;mm;7
Luminosité;22950.51;lux;8
Vitesse du vent;17.37;km/h;9
Humidité du sol;51.19;%;4
pH du sol;6.27;pH;5
Pluviométrie;0.41;mm;7
Luminosité;58297.3;lux;8
Vitesse du vent;12.55;km/h;9
Humidité du sol;77.05;%;4
pH du sol;7.4;pH;5
Pluviométrie;1.41;mm;7
Luminosité;90111.42;lux;8
Vitesse du vent;20.88;km/h;9
pH du sol;6.7;pH;5
Pluviométrie;5.42;mm;7
Luminosité;27832.91;lux;8
Vitesse du vent;40.74;km/h;9
Humidité du sol;57.53;%;4
Humidité du sol;77.29;%;4
pH du sol;7.37;pH;5
Pluviométrie;6.64;mm;7
Luminosité;27416.56;lux;8
Vitesse du vent;32.24;km/h;9
Humidité du sol;52.66;%;4
pH du sol;6.35;pH;5
Pluviométrie;3.3;mm;7
Luminosité;40704.89;lux;8
Vitesse du vent;24.78;km/h;9
Humidité du sol;69.78;%;4
pH du sol;7.28;pH;5
Pluviométrie;6.67;mm;7
Luminosité;85996.17;lux;8
Vitesse du vent;44.5;km/h;9
Pluviométrie;5.43;mm;7
Luminosité;46540.99;lux;8
Vitesse du vent;28.53;km/h;9
Humidité du sol;62.44;%;4
pH du sol;6.1;pH;5
Humidité du sol;46.78;%;4
pH du sol;6.31;pH;5
Pluviométrie;3.49;mm;7
Luminosité;80112.61;lux;8
Vitesse du vent;35.21;km/h;9
Humidité du sol;44.01;%;4
pH du sol;6.11;pH;5
Pluviométrie;0.05;mm;7
Luminosité;6047.64;lux;8
Vitesse du vent;37.57;km/h;9
Humidité du sol;54.77;%;4
pH du sol;6.04;pH;5
Pluviométrie;0.72;mm;7
Luminosité;79105.2;lux;8
Vitesse du vent;14.1;km/h;9
Humidité du sol;56.51;%;4
pH du sol;7.2;pH;5
Pluviométrie;7.97;mm;7
Luminosité;51134.4;lux;8
Vitesse du vent;26.59;km/h;9
Humidité du sol;62.81;%;4
pH du sol;6.57;pH;5
Pluviométrie;1.65;mm;7
Luminosité;22072.97;lux;8
Vitesse du vent;45.29;km/h;9
Humidité du sol;70.15;%;4
pH du sol;6.85;pH;5
Pluviométrie;2.29;mm;7
Luminosité;15724.58;lux;8
Vitesse du vent;0.31;km/h;9
Humidité du sol;78.8;%;4
pH du sol;6.04;pH;5
Pluviométrie;5.6;mm;7
Luminosité;52019.11;lux;8
Vitesse du vent;43.87;km/h;9
Humidité du sol;65.66;%;4
pH du sol;6.17;pH;5
Pluviométrie;5.72;mm;7
Luminosité;37466.86;lux;8
Vitesse du vent;44.01;km/h;9
Humidité du sol;62.97;%;4
pH du sol;6.33;pH;5
Pluviométrie;8.91;mm;7
Luminosité;46669.04;lux;8
Vitesse du vent;47.85;km/h;9
Humidité du sol;53.05;%;4
pH du sol;6.85;pH;5
Pluviométrie;0.86;mm;7
Luminosité;57104.74;lux;8
Vitesse du vent;17.64;km/h;9
Humidité du sol;66.89;%;4
pH du sol;7.09;pH;5
Pluviométrie;1.31;mm;7
Luminosité;79204.33;lux;8
Vitesse du vent;14.37;km/h;9
Pluviométrie;6.84;mm;7
Luminosité;80596.66;lux;8
Vitesse du vent;11.27;km/h;9
Humidité du sol;69.66;%;4
pH du sol;6.22;pH;5
Humidité du sol;47.76;%;4
pH du sol;6.37;pH;5
Pluviométrie;9.35;mm;7
Luminosité;23257.7;lux;8
Vitesse du vent;19.33;km/h;9
Humidité du sol;49.21;%;4
pH du sol;7.45;pH;5
Pluviométrie;6.97;mm;7
Luminosité;51214.55;lux;8
Vitesse du vent;48.48;km/h;9
Humidité du sol;45.43;%;4
pH du sol;6.55;pH;5
Pluviométrie;7.59;mm;7
Luminosité;70261.0;lux;8
Vitesse du vent;35.28;km/h;9
Humidité du sol;48.45;%;4
pH du sol;6.78;pH;5
Pluviométrie;1.8;mm;7
Luminosité;23695.76;lux;8
Vitesse du vent;49.18;km/h;9
Humidité du sol;41.94;%;4
pH du sol;6.72;pH;5
Pluviométrie;5.05;mm;7
Luminosité;47257.11;lux;8
Vitesse du vent;7.93;km/h;9
Humidité du sol;48.35;%;4
pH du sol;7.47;pH;5
Pluviométrie;6.71;mm;7
Luminosité;36307.37;lux;8
Vitesse du vent;1.38;km/h;9
Humidité du sol;71.46;%;4
pH du sol;7.31;pH;5
Pluviométrie;3.62;mm;7
Luminosité;60469.9;lux;8
Vitesse du vent;46.42;km/h;9
pH du sol;6.77;pH;5
Pluviométrie;9.65;mm;7
Luminosité;54247.37;lux;8
Vitesse du vent;28.39;km/h;9
Humidité du sol;56.59;%;4
Humidité du sol;75.91;%;4
pH du sol;6.82;pH;5
Pluviométrie;8.77;mm;7
Luminosité;76239.13;lux;8
Vitesse du vent;2.6;km/h;9
Humidité du sol;62.3;%;4
pH du sol;6.34;pH;5
Pluviométrie;4.55;mm;7
Luminosité;99030.93;lux;8
Vitesse du vent;49.46;km/h;9
Humidité du sol;45.35;%;4
pH du sol;6.84;pH;5
Pluviométrie;1.68;mm;7
Luminosité;23452.02;lux;8
Vitesse du vent;20.54;km/h;9
Humidité du sol;47.61;%;4
pH du sol;6.17;pH;5
Pluviométrie;6.38;mm;7
Luminosité;16727.01;lux;8
Vitesse du vent;41.48;km/h;9
Humidité du sol;70.54;%;4
pH du sol;7.28;pH;5
Pluviométrie;0.21;mm;7
Luminosité;24017.43;lux;8
Vitesse du vent;2.57;km/h;9
Humidité du sol;57.75;%;4
pH du sol;7.13;pH;5
Pluviométrie;2.41;mm;7
Luminosité;77166.72;lux;8
Vitesse du vent;2.07;km/h;9
Humidité du sol;47.98;%;4
pH du sol;7.23;pH;5
Pluviométrie;1.18;mm;7
Luminosité;82283.41;lux;8
Vitesse du vent;3.93;km/h;9
Humidité du sol;62.63;%;4
pH du sol;6.39;pH;5
Pluviométrie;7.44;mm;7
Luminosité;71887.07;lux;8
Vitesse du vent;41.79;km/h;9
Humidité du sol;53.88;%;4
pH du sol;6.83;pH;5
Pluviométrie;2.97;mm;7
Luminosité;33331.37;lux;8
Vitesse du vent;6.82;km/h;9
Humidité du sol;51.68;%;4
pH du sol;6.35;pH;5
Pluviométrie;8.35;mm;7
Luminosité;22794.15;lux;8
Vitesse du vent;25.51;km/h;9
Humidité du sol;49.83;%;4
pH du sol;6.37;pH;5
Pluviométrie;2.39;mm;7
Luminosité;53161.33;lux;8
Vitesse du vent;38.57;km/h;9
Humidité du sol;46.69;%;4
pH du sol;7.07;pH;5
Pluviométrie;8.74;mm;7
Luminosité;85061.92;lux;8
Vitesse du vent;26.26;km/h;9
Humidité du sol;62.86;%;4
pH du sol;6.45;pH;5
Pluviométrie;6.46;mm;7
Luminosité;13193.2;lux;8
Vitesse du vent;40.94;km/h;9
Humidité du sol;64.74;%;4
pH du sol;6.06;pH;5
Pluviométrie;5.74;mm;7
Luminosité;17613.98;lux;8
Vitesse du vent;40.01;km/h;9
Humidité du sol;64.82;%;4
pH du sol;6.52;pH;5
Pluviométrie;5.2;mm;7
Luminosité;88988.96;lux;8
Vitesse du vent;43.06;km/h;9
Humidité du sol;62.55;%;4
pH du sol;7.5;pH;5
Pluviométrie;7.24;mm;7
Luminosité;21100.24;lux;8
Vitesse du vent;26.61;km/h;9
Humidité du sol;57.25;%;4
pH du sol;6.52;pH;5
Pluviométrie;3.11;mm;7
Luminosité;76483.19;lux;8
Vitesse du vent;23.37;km/h;9
Humidité du sol;59.57;%;4
pH du sol;6.4;pH;5
Pluviométrie;6.4;mm;7
Luminosité;55872.67;lux;8
Vitesse du vent;22.76;km/h;9
Humidité du sol;66.06;%;4
pH du sol;6.15;pH;5
Pluviométrie;8.24;mm;7
Luminosité;49192.32;lux;8
Vitesse du vent;15.97;km/h;9
Humidité du sol;75.46;%;4
pH du sol;6.56;pH;5
Pluviométrie;5.56;mm;7
Luminosité;13773.94;lux;8
Vitesse du vent;49.75;km/h;9
Humidité du sol;44.29;%;4
pH du sol;7.1;pH;5
Pluviométrie;5.45;mm;7
Luminosité;5148.45;lux;8
Vitesse du vent;34.58;km/h;9
Humidité du sol;40.49;%;4
pH du sol;7.48;pH;5
Pluviométrie;5.66;mm;7
Luminosité;8672.7;lux;8
Vitesse du vent;21.1;km/h;9
Humidité du sol;43.86;%;4
pH du sol;6.08;pH;5
Pluviométrie;1.29;mm;7
Luminosité;35158.64;lux;8
Vitesse du vent;4.75;km/h;9
Humidité du sol;72.5;%;4
pH du sol;7.49;pH;5
Pluviométrie;2.84;mm;7
Luminosité;71481.15;lux;8
Vitesse du vent;47.35;km/h;9
Humidité du sol;69.24;%;4
pH du sol;6.55;pH;5
Pluviométrie;3.93;mm;7
Luminosité;5861.71;lux;8
Vitesse du vent;12.32;km/h;9
Humidité du sol;76.66;%;4
pH du sol;7.33;pH;5
Pluviométrie;9.43;mm;7
Luminosité;98556.75;lux;8
Vitesse du vent;49.16;km/h;9
Humidité du sol;74.63;%;4
pH du sol;7.34;pH;5
Pluviométrie;9.02;mm;7
Luminosité;15060.74;lux;8
Vitesse du vent;25.71;km/h;9
pH du sol;7.45;pH;5
Pluviométrie;8.67;mm;7
Luminosité;12047.6;lux;8
Vitesse du vent;27.1;km/h;9
Humidité du sol;46.79;%;4
Humidité du sol;47.09;%;4
pH du sol;7.42;pH;5
Pluviométrie;2.34;mm;7
Luminosité;5127.0;lux;8
Vitesse du vent;24.86;km/h;9
Humidité du sol;59.15;%;4
pH du sol;6.46;pH;5
Pluviométrie;0.1;mm;7
Luminosité;44717.48;lux;8
Vitesse du vent;15.2;km/h;9
Humidité du sol;79.85;%;4
pH du sol;7.46;pH;5
Pluviométrie;8.86;mm;7
Luminosité;71325.35;lux;8
Vitesse du vent;20.9;km/h;9
Humidité du sol;41.12;%;4
pH du sol;7.21;pH;5
Pluviométrie;1.29;mm;7
Luminosité;71757.74;lux;8
Vitesse du vent;46.4;km/h;9
pH du sol;7.49;pH;5
Pluviométrie;5.21;mm;7
Luminosité;62363.9;lux;8
Vitesse du vent;40.32;km/h;9
Humidité du sol;65.54;%;4
Humidité du sol;40.24;%;4
pH du sol;6.63;pH;5
Pluviométrie;3.93;mm;7
Luminosité;71849.2;lux;8
Vitesse du vent;20.39;km/h;9
Humidité du sol;43.54;%;4
pH du sol;7.22;pH;5
Pluviométrie;0.91;mm;7
Luminosité;76301.24;lux;8
Vitesse du vent;24.77;km/h;9
Humidité du sol;62.62;%;4
pH du sol;6.32;pH;5
Pluviométrie;5.09;mm;7
Luminosité;63626.0;lux;8
Vitesse du vent;40.31;km/h;9
Humidité du sol;58.33;%;4
pH du sol;6.1;pH;5
Pluviométrie;7.7;mm;7
Luminosité;77092.39;lux;8
Vitesse du vent;5.4;km/h;9
Humidité du sol;55.88;%;4
pH du sol;6.49;pH;5
Pluviométrie;2.7;mm;7
Luminosité;36220.45;lux;8
Vitesse du vent;43.05;km/h;9
Humidité du sol;48.37;%;4
pH du sol;7.39;pH;5
Pluviométrie;6.3;mm;7
Luminosité;39608.41;lux;8
Vitesse du vent;39.49;km/h;9
Humidité du sol;59.17;%;4
pH du sol;6.14;pH;5
Pluviométrie;1.46;mm;7
Luminosité;16343.95;lux;8
Vitesse du vent;17.5;km/h;9
Humidité du sol;48.91;%;4
pH du sol;6.69;pH;5
Pluviométrie;7.11;mm;7
Luminosité;63506.99;lux;8
Vitesse du vent;30.33;km/h;9
Humidité du sol;50.28;%;4
pH du sol;7.07;pH;5
Pluviométrie;3.98;mm;7
Luminosité;96366.81;lux;8
Vitesse du vent;11.9;km/h;9
Humidité du sol;42.84;%;4
pH du sol;6.89;pH;5
Pluviométrie;8.52;mm;7
Luminosité;45080.98;lux;8
Vitesse du vent;15.27;km/h;9
Humidité du sol;51.74;%;4
pH du sol;6.11;pH;5
Pluviométrie;6.72;mm;7
Luminosité;32143.19;lux;8
Vitesse du vent;46.36;km/h;9
pH du sol;7.06;pH;5
Pluviométrie;7.49;mm;7
Luminosité;87815.18;lux;8
Vitesse du vent;41.38;km/h;9
Humidité du sol;46.16;%;4
Humidité du sol;74.94;%;4
pH du sol;6.04;pH;5
Pluviométrie;5.34;mm;7
Luminosité;55928.91;lux;8
Vitesse du vent;49.84;km/h;9
Humidité du sol;48.29;%;4
pH du sol;6.68;pH;5
Pluviométrie;6.7;mm;7
Luminosité;74538.31;lux;8
Vitesse du vent;30.69;km/h;9
Humidité du sol;61.89;%;4
pH du sol;6.16;pH;5
Pluviométrie;6.72;mm;7
Luminosité;51253.3;lux;8
Vitesse du vent;29.43;km/h;9
Humidité du sol;64.12;%;4
pH du sol;6.22;pH;5
Pluviométrie;2.86;mm;7
Luminosité;24445.59;lux;8
Vitesse du vent;0.07;km/h;9
Humidité du sol;48.6;%;4
pH du sol;6.53;pH;5
Pluviométrie;0.37;mm;7
Luminosité;92025.98;lux;8
Vitesse du vent;26.3;km/h;9
Humidité du sol;59.56;%;4
pH du sol;6.79;pH;5
Pluviométrie;4.42;mm;7
Luminosité;49501.06;lux;8
Vitesse du vent;2.27;km/h;9
Humidité du sol;66.82;%;4
pH du sol;6.55;pH;5
Pluviométrie;6.2;mm;7
Luminosité;71919.82;lux;8
Vitesse du vent;43.98;km/h;9
Humidité du sol;48.31;%;4
pH du sol;7.18;pH;5
Pluviométrie;3.89;mm;7
Luminosité;65841.27;lux;8
Vitesse du vent;14.57;km/h;9
Pluviométrie;8.93;mm;7
Luminosité;44847.32;lux;8
Vitesse du vent;11.98;km/h;9
Humidité du sol;56.13;%;4
pH du sol;6.65;pH;5
Humidité du sol;61.51;%;4
pH du sol;6.05;pH;5
Pluviométrie;2.53;mm;7
Luminosité;33460.28;lux;8
Vitesse du vent;0.52;km/h;9
Humidité du sol;77.28;%;4
pH du sol;6.19;pH;5
Pluviométrie;3.2;mm;7
Luminosité;52646.14;lux;8
Vitesse du vent;3.88;km/h;9
Humidité du sol;56.04;%;4
pH du sol;6.93;pH;5
Pluviométrie;2.89;mm;7
Luminosité;59691.62;lux;8
Vitesse du vent;10.48;km/h;9
pH du sol;7.26;pH;5
Pluviométrie;0.59;mm;7
Luminosité;88425.47;lux;8
Vitesse du vent;7.33;km/h;9
Humidité du sol;64.56;%;4
Humidité du sol;59.38;%;4
pH du sol;6.02;pH;5
Pluviométrie;1.77;mm;7
Luminosité;39487.22;lux;8
Vitesse du vent;28.01;km/h;9
Humidité du sol;44.01;%;4
pH du sol;7.15;pH;5
Pluviométrie;8.76;mm;7
Luminosité;15662.5;lux;8
Vitesse du vent;30.62;km/h;9
Humidité du sol;41.51;%;4
pH du sol;6.33;pH;5
Pluviométrie;0.02;mm;7
Luminosité;30510.36;lux;8
Vitesse du vent;29.14;km/h;9
Humidité du sol;78.01;%;4
pH du sol;7.15;pH;5
Pluviométrie;9.68;mm;7
Luminosité;79603.52;lux;8
Vitesse du vent;31.73;km/h;9
Humidité du sol;62.0;%;4
pH du sol;7.38;pH;5
Pluviométrie;5.95;mm;7
Luminosité;53566.98;lux;8
Vitesse du vent;10.04;km/h;9
Humidité du sol;40.86;%;4
pH du sol;6.37;pH;5
Pluviométrie;9.8;mm;7
Luminosité;73280.3;lux;8
Vitesse du vent;48.89;km/h;9
Humidité du sol;50.86;%;4
pH du sol;7.33;pH;5
Pluviométrie;7.67;mm;7
Luminosité;14805.88;lux;8
Vitesse du vent;36.03;km/h;9
Humidité du sol;71.65;%;4
pH du sol;7.4;pH;5
Pluviométrie;9.47;mm;7
Luminosité;1877.2;lux;8
Vitesse du vent;20.76;km/h;9
Humidité du sol;65.71;%;4
pH du sol;7.11;pH;5
Pluviométrie;8.9;mm;7
Luminosité;29901.08;lux;8
Vitesse du vent;20.54;km/h;9
pH du sol;6.18;pH;5
Pluviométrie;1.45;mm;7
Luminosité;42983.19;lux;8
Vitesse du vent;26.96;km/h;9
Humidité du sol;72.35;%;4
Humidité du sol;57.8;%;4
pH du sol;6.61;pH;5
Pluviométrie;4.0;mm;7
Luminosité;34798.38;lux;8
Vitesse du vent;45.44;km/h;9
Humidité du sol;48.87;%;4
pH du sol;7.12;pH;5
Pluviométrie;8.36;mm;7
Luminosité;59552.18;lux;8
Vitesse du vent;7.66;km/h;9
Humidité du sol;69.48;%;4
pH du sol;6.54;pH;5
Pluviométrie;2.73;mm;7
Luminosité;95732.78;lux;8
Vitesse du vent;0.91;km/h;9
pH du sol;6.59;pH;5
Pluviométrie;6.16;mm;7
Luminosité;79260.8;lux;8
Vitesse du vent;2.45;km/h;9
Humidité du sol;48.18;%;4
Humidité du sol;53.56;%;4
pH du sol;7.28;pH;5
Pluviométrie;2.35;mm;7
Luminosité;89884.48;lux;8
Vitesse du vent;30.03;km/h;9
Humidité du sol;59.96;%;4
pH du sol;6.82;pH;5
Pluviométrie;5.64;mm;7
Luminosité;93182.36;lux;8
Vitesse du vent;37.13;km/h;9
Humidité du sol;72.11;%;4
pH du sol;6.52;pH;5
Pluviométrie;9.11;mm;7
Luminosité;22836.61;lux;8
Vitesse du vent;29.56;km/h;9
Humidité du sol;75.79;%;4
pH du sol;7.36;pH;5
Pluviométrie;9.71;mm;7
Luminosité;27384.13;lux;8
Vitesse du vent;23.59;km/h;9
Humidité du sol;78.73;%;4
pH du sol;6.28;pH;5
Pluviométrie;4.23;mm;7
Luminosité;89918.2;lux;8
Vitesse du vent;13.66;km/h;9
Humidité du sol;59.23;%;4
pH du sol;7.34;pH;5
Pluviométrie;3.63;mm;7
Luminosité;78291.91;lux;8
Vitesse du vent;25.76;km/h;9
Humidité du sol;56.17;%;4
pH du sol;6.58;pH;5
Pluviométrie;0.52;mm;7
Luminosité;94802.35;lux;8
Vitesse du vent;13.07;km/h;9
Humidité du sol;73.94;%;4
pH du sol;7.12;pH;5
Pluviométrie;6.86;mm;7
Luminosité;35048.54;lux;8
Vitesse du vent;19.01;km/h;9
Humidité du sol;58.35;%;4
pH du sol;6.65;pH;5
Pluviométrie;0.52;mm;7
Luminosité;55152.01;lux;8
Vitesse du vent;17.52;km/h;9
Humidité du sol;76.15;%;4
pH du sol;6.78;pH;5
Pluviométrie;8.79;mm;7
Luminosité;47350.02;lux;8
Vitesse du vent;25.01;km/h;9
Humidité du sol;49.78;%;4
pH du sol;6.41;pH;5
Pluviométrie;8.18;mm;7
Luminosité;4475.19;lux;8
Vitesse du vent;40.92;km/h;9
Humidité du sol;70.44;%;4
pH du sol;6.44;pH;5
Pluviométrie;8.58;mm;7
Luminosité;7748.4;lux;8
Vitesse du vent;38.93;km/h;9
Humidité du sol;60.65;%;4
pH du sol;7.11;pH;5
Pluviométrie;1.88;mm;7
Luminosité;23006.43;lux;8
Vitesse du vent;44.16;km/h;9
Humidité du sol;76.98;%;4
pH du sol;7.08;pH;5
Pluviométrie;4.18;mm;7
Luminosité;43087.03;lux;8
Vitesse du vent;9.7;km/h;9
Humidité du sol;48.63;%;4
pH du sol;6.69;pH;5
Pluviométrie;5.8;mm;7
Luminosité;46602.13;lux;8
Vitesse du vent;44.17;km/h;9
Humidité du sol;77.79;%;4
pH du sol;6.26;pH;5
Pluviométrie;3.08;mm;7
Luminosité;3189.78;lux;8
Vitesse du vent;24.43;km/h;9
Humidité du sol;49.89;%;4
pH du sol;7.09;pH;5
Pluviométrie;3.25;mm;7
Luminosité;57613.95;lux;8
Vitesse du vent;30.94;km/h;9
Humidité du sol;50.55;%;4
pH du sol;7.18;pH;5
Pluviométrie;9.81;mm;7
Luminosité;23690.41;lux;8
Vitesse du vent;32.99;km/h;9
Humidité du sol;66.58;%;4
pH du sol;6.34;pH;5
Pluviométrie;5.61;mm;7
Luminosité;5081.39;lux;8
Vitesse du vent;9.55;km/h;9
Humidité du sol;70.71;%;4
pH du sol;6.94;pH;5
Pluviométrie;5.13;mm;7
Luminosité;47419.02;lux;8
Vitesse du vent;35.13;km/h;9
Humidité du sol;77.0;%;4
pH du sol;6.62;pH;5
Pluviométrie;2.53;mm;7
Luminosité;25113.43;lux;8
Vitesse du vent;0.44;km/h;9
Humidité du sol;72.24;%;4
pH du sol;6.65;pH;5
Pluviométrie;7.83;mm;7
Luminosité;94577.51;lux;8
Vitesse du vent;11.33;km/h;9
Humidité du sol;75.13;%;4
pH du sol;6.29;pH;5
Pluviométrie;6.06;mm;7
Luminosité;33725.76;lux;8
Vitesse du vent;49.09;km/h;9
Humidité du sol;59.48;%;4
pH du sol;7.42;pH;5
Pluviométrie;1.09;mm;7
Luminosité;95515.91;lux;8
Vitesse du vent;20.51;km/h;9
Humidité du sol;78.8;%;4
pH du sol;6.55;pH;5
Pluviométrie;2.53;mm;7
Luminosité;35973.93;lux;8
Vitesse du vent;3.63;km/h;9
Humidité du sol;62.56;%;4
pH du sol;6.61;pH;5
Pluviométrie;7.23;mm;7
Luminosité;83028.33;lux;8
Vitesse du vent;47.14;km/h;9
Luminosité;74021.3;lux;8
Vitesse du vent;46.9;km/h;9
Humidité du sol;74.92;%;4
pH du sol;6.99;pH;5
Pluviométrie;5.17;mm;7
Humidité du sol;62.6;%;4
pH du sol;7.26;pH;5
Pluviométrie;2.5;mm;7
Luminosité;63372.26;lux;8
Vitesse du vent;48.19;km/h;9
Humidité du sol;47.9;%;4
pH du sol;6.61;pH;5
Pluviométrie;5.26;mm;7
Luminosité;36225.33;lux;8
Vitesse du vent;41.67;km/h;9
Humidité du sol;67.6;%;4
pH du sol;6.21;pH;5
Pluviométrie;9.51;mm;7
Luminosité;32904.06;lux;8
Vitesse du vent;40.07;km/h;9
Humidité du sol;70.6;%;4
pH du sol;7.02;pH;5
Pluviométrie;9.04;mm;7
Luminosité;10836.48;lux;8
Vitesse du vent;29.9;km/h;9
Humidité du sol;60.19;%;4
pH du sol;6.24;pH;5
Pluviométrie;1.45;mm;7
Luminosité;6938.58;lux;8
Vitesse du vent;37.24;km/h;9
Humidité du sol;73.36;%;4
pH du sol;6.35;pH;5
Pluviométrie;2.85;mm;7
Luminosité;17664.09;lux;8
Vitesse du vent;0.12;km/h;9
Humidité du sol;55.4;%;4
pH du sol;6.83;pH;5
Pluviométrie;7.32;mm;7
Luminosité;24150.34;lux;8
Vitesse du vent;19.57;km/h;9
Pluviométrie;1.71;mm;7
Luminosité;22572.71;lux;8
Vitesse du vent;26.35;km/h;9
Humidité du sol;60.97;%;4
pH du sol;7.15;pH;5
Humidité du sol;72.88;%;4
pH du sol;6.94;pH;5
Pluviométrie;2.01;mm;7
Luminosité;10427.55;lux;8
Vitesse du vent;4.85;km/h;9
Humidité du sol;60.0;%;4
pH du sol;6.01;pH;5
Pluviométrie;4.9;mm;7
Luminosité;4117.91;lux;8
Vitesse du vent;13.15;km/h;9
Humidité du sol;54.36;%;4
pH du sol;7.34;pH;5
Pluviométrie;4.27;mm;7
Luminosité;12495.59;lux;8
Vitesse du vent;0.61;km/h;9
Humidité du sol;43.51;%;4
pH du sol;6.55;pH;5
Pluviométrie;5.41;mm;7
Luminosité;1920.81;lux;8
Vitesse du vent;10.2;km/h;9
Humidité du sol;58.4;%;4
pH du sol;6.52;pH;5
Pluviométrie;9.74;mm;7
Luminosité;11287.85;lux;8
Vitesse du vent;0.05;km/h;9
Humidité du sol;45.06;%;4
pH du sol;6.04;pH;5
Pluviométrie;0.86;mm;7
Luminosité;23993.02;lux;8
Vitesse du vent;35.13;km/h;9
Humidité du sol;47.27;%;4
pH du sol;7.04;pH;5
Pluviométrie;6.15;mm;7
Luminosité;632.14;lux;8
